RefSeq mRNA Accession	GO - Cellular Component	Illumina ID	UniProt Accession	
NM_008484	GO:0005578 [Name: proteinaceous extracellular matrix]; GO:0005604 [Name: basement membrane]; GO:0005576 [Name: extracellular region]; GO:0005610 [Name: laminin-5 complex]	ILMN_2444733 [Chip: ]; ILMN_2605512 [Chip: ]	Q61087	
NM_008485	GO:0005578 [Name: proteinaceous extracellular matrix]; GO:0005604 [Name: basement membrane]; GO:0005607 [Name: laminin-2 complex]; GO:0048471 [Name: perinuclear region of cytoplasm]; GO:0005938 [Name: cell cortex]; GO:0016020 [Name: membrane]; GO:0005610 [Name: laminin-5 complex]; GO:0005576 [Name: extracellular region]; GO:0005615 [Name: extracellular space]	ILMN_1233823 [Chip: ]; ILMN_1228148 [Chip: ]; ILMN_2775307 [Chip: ]	-	
NM_008486	GO:0016021 [Name: integral component of membrane]; GO:0005793 [Name: endoplasmic reticulum-Golgi intermediate compartment]; GO:0005615 [Name: extracellular space]; GO:0031983 [Name: vesicle lumen]; GO:0012506 [Name: vesicle membrane]; GO:0016020 [Name: membrane]; GO:0070062 [Name: extracellular exosome]; GO:0005765 [Name: lysosomal membrane]; GO:0009897 [Name: external side of plasma membrane]	ILMN_2589651 [Chip: ]	P97449	
NM_008487	GO:0005925 [Name: focal adhesion]; GO:0043025 [Name: neuronal cell body]; GO:0097481 [Name: neuronal postsynaptic density]; GO:0005794 [Name: Golgi apparatus]; GO:0031982 [Name: vesicle]; GO:0031410 [Name: cytoplasmic vesicle]; GO:0043198 [Name: dendritic shaft]; GO:0032587 [Name: ruffle membrane]; GO:0043234 [Name: protein complex]; GO:0005737 [Name: cytoplasm]; GO:0005874 [Name: microtubule]; GO:0005923 [Name: bicellular tight junction]; GO:0030054 [Name: cell junction]; GO:0005856 [Name: cytoskeleton]	ILMN_2782446 [Chip: ]; ILMN_1217110 [Chip: ]; ILMN_1248202 [Chip: ]; ILMN_1233424 [Chip: ]	Q60875	
NM_008488	GO:0005737 [Name: cytoplasm]; GO:0005886 [Name: plasma membrane]; GO:0016020 [Name: membrane]	ILMN_1244288 [Chip: ]; ILMN_2920752 [Chip: ]; ILMN_2920753 [Chip: ]; ILMN_2725865 [Chip: ]; ILMN_2748138 [Chip: ]; ILMN_1247180 [Chip: ]	Q61210	
NM_008489	GO:0005615 [Name: extracellular space]; GO:0009986 [Name: cell surface]; GO:0070062 [Name: extracellular exosome]; GO:0005576 [Name: extracellular region]	ILMN_2771237 [Chip: ]	Q61805	
NM_008490	GO:0005576 [Name: extracellular region]; GO:0070062 [Name: extracellular exosome]; GO:0034364 [Name: high-density lipoprotein particle]; GO:0005615 [Name: extracellular space]	ILMN_2798400 [Chip: ]; ILMN_2798402 [Chip: ]; ILMN_2627961 [Chip: ]	P16301	
NM_008491	GO:0005829 [Name: cytosol]; GO:0070062 [Name: extracellular exosome]; GO:0005615 [Name: extracellular space]; GO:0005576 [Name: extracellular region]	ILMN_2712075 [Chip: ]	P11672	
NM_008492	GO:0043209 [Name: myelin sheath]; GO:0045121 [Name: membrane raft]; GO:0005737 [Name: cytoplasm]; GO:0005739 [Name: mitochondrion]; GO:0070062 [Name: extracellular exosome]; GO:0016020 [Name: membrane]	ILMN_2660466 [Chip: ]	P16125	
NM_008493	GO:0005615 [Name: extracellular space]; GO:0005576 [Name: extracellular region]; GO:0005737 [Name: cytoplasm]	ILMN_2695964 [Chip: ]	P41160; Q544U0	
NM_008494	GO:0016021 [Name: integral component of membrane]; GO:0030173 [Name: integral component of Golgi membrane]; GO:1903561 [Name: extracellular vesicle]; GO:0016020 [Name: membrane]; GO:0005794 [Name: Golgi apparatus]	ILMN_2510486 [Chip: ]; ILMN_1247209 [Chip: ]; ILMN_2711420 [Chip: ]	B2RRW2; O09010	
NM_008495	GO:0005634 [Name: nucleus]; GO:0005576 [Name: extracellular region]; GO:0005615 [Name: extracellular space]; GO:0070062 [Name: extracellular exosome]; GO:0005622 [Name: intracellular]; GO:0005578 [Name: proteinaceous extracellular matrix]; GO:0009986 [Name: cell surface]; GO:0031012 [Name: extracellular matrix]; GO:0005737 [Name: cytoplasm]	ILMN_2619107 [Chip: ]; ILMN_1246613 [Chip: ]	P16045	
NM_008496	GO:0005737 [Name: cytoplasm]; GO:0005615 [Name: extracellular space]; GO:0005634 [Name: nucleus]; GO:0005576 [Name: extracellular region]; GO:0070062 [Name: extracellular exosome]	ILMN_2871441 [Chip: ]; ILMN_2703181 [Chip: ]; ILMN_2703182 [Chip: ]	Q9CRB1	
NM_008497	GO:0070062 [Name: extracellular exosome]; GO:0005576 [Name: extracellular region]	ILMN_2589011 [Chip: ]; ILMN_1248017 [Chip: ]	-	
NM_008498	GO:0005622 [Name: intracellular]; GO:0043234 [Name: protein complex]; GO:0005634 [Name: nucleus]	ILMN_2716543 [Chip: ]; ILMN_1225672 [Chip: ]; ILMN_1260392 [Chip: ]	P63006	
NM_008499	GO:0005634 [Name: nucleus]	ILMN_1220665 [Chip: ]	P61375	
NM_008500	GO:0005634 [Name: nucleus]	ILMN_1250422 [Chip: ]; ILMN_2774908 [Chip: ]; ILMN_2639562 [Chip: ]; ILMN_2774910 [Chip: ]; ILMN_2587382 [Chip: ]	Q9R1R0	
NM_008501	GO:0005576 [Name: extracellular region]; GO:0005615 [Name: extracellular space]; GO:0005737 [Name: cytoplasm]	ILMN_3137291 [Chip: ]; ILMN_2777786 [Chip: ]; ILMN_1234792 [Chip: ]; ILMN_3137287 [Chip: ]; ILMN_3163355 [Chip: ]	P09056	
NM_008502	GO:0005737 [Name: cytoplasm]; GO:0032588 [Name: trans-Golgi network membrane]; GO:0031901 [Name: early endosome membrane]; GO:0005794 [Name: Golgi apparatus]; GO:0016020 [Name: membrane]; GO:0030424 [Name: axon]; GO:0042995 [Name: cell projection]; GO:0005886 [Name: plasma membrane]; GO:0000137 [Name: Golgi cis cisterna]; GO:0005768 [Name: endosome]; GO:0030864 [Name: cortical actin cytoskeleton]; GO:0035748 [Name: myelin sheath abaxonal region]; GO:0005623 [Name: cell]; GO:0005856 [Name: cytoskeleton]	ILMN_1247530 [Chip: ]; ILMN_2828427 [Chip: ]	Q80Y17	
NM_008503	GO:0022627 [Name: cytosolic small ribosomal subunit]; GO:0016020 [Name: membrane]; GO:0005840 [Name: ribosome]; GO:0005654 [Name: nucleoplasm]; GO:0005925 [Name: focal adhesion]; GO:0070062 [Name: extracellular exosome]; GO:0005634 [Name: nucleus]; GO:0005737 [Name: cytoplasm]; GO:0015935 [Name: small ribosomal subunit]; GO:0030529 [Name: ribonucleoprotein complex]	ILMN_1253395 [Chip: ]; ILMN_2717549 [Chip: ]; ILMN_2534332 [Chip: ]	P25444	
NM_008504	GO:0030141 [Name: secretory granule]; GO:0005615 [Name: extracellular space]; GO:0016020 [Name: membrane]	ILMN_1229500 [Chip: ]	-	
NM_008505	GO:0005634 [Name: nucleus]; GO:0005667 [Name: transcription factor complex]; GO:0043234 [Name: protein complex]	ILMN_2767605 [Chip: ]	P25801	
NM_008506	GO:0005634 [Name: nucleus]	ILMN_1221750 [Chip: ]	P10166	
NM_008507	GO:0005622 [Name: intracellular]	ILMN_2605917 [Chip: ]; ILMN_2721065 [Chip: ]; ILMN_2822523 [Chip: ]; ILMN_1225638 [Chip: ]	O09039	
NM_008508	GO:0001533 [Name: cornified envelope]; GO:0009898 [Name: cytoplasmic side of plasma membrane]; GO:0005737 [Name: cytoplasm]	ILMN_1241825 [Chip: ]	P18165	
NM_008509	GO:0034361 [Name: very-low-density lipoprotein particle]; GO:0005886 [Name: plasma membrane]; GO:0009986 [Name: cell surface]; GO:0031225 [Name: anchored component of membrane]; GO:0005615 [Name: extracellular space]; GO:0016020 [Name: membrane]; GO:0031012 [Name: extracellular matrix]; GO:0070062 [Name: extracellular exosome]; GO:0005576 [Name: extracellular region]; GO:0042627 [Name: chylomicron]	ILMN_1246258 [Chip: ]; ILMN_2692723 [Chip: ]; ILMN_2770017 [Chip: ]; ILMN_2585447 [Chip: ]	P11152	
NM_008510	GO:0005576 [Name: extracellular region]; GO:0005615 [Name: extracellular space]	ILMN_2948552 [Chip: ]; ILMN_2454031 [Chip: ]	P47993	
NM_008511	GO:0005856 [Name: cytoskeleton]; GO:0005783 [Name: endoplasmic reticulum]; GO:0030176 [Name: integral component of endoplasmic reticulum membrane]; GO:0005789 [Name: endoplasmic reticulum membrane]; GO:0005737 [Name: cytoplasm]; GO:0016021 [Name: integral component of membrane]; GO:0005634 [Name: nucleus]; GO:0016020 [Name: membrane]; GO:0005694 [Name: chromosome]	ILMN_2602542 [Chip: ]; ILMN_2919850 [Chip: ]; ILMN_2769807 [Chip: ]	Q60664	
NM_008512	GO:0016020 [Name: membrane]; GO:0005887 [Name: integral component of plasma membrane]; GO:0005905 [Name: coated pit]; GO:0030136 [Name: clathrin-coated vesicle]; GO:0043235 [Name: receptor complex]; GO:0005886 [Name: plasma membrane]; GO:0016021 [Name: integral component of membrane]; GO:0048471 [Name: perinuclear region of cytoplasm]; GO:0005737 [Name: cytoplasm]; GO:0005730 [Name: nucleolus]; GO:0005925 [Name: focal adhesion]; GO:0043025 [Name: neuronal cell body]; GO:0030425 [Name: dendrite]; GO:0005634 [Name: nucleus]; GO:0005765 [Name: lysosomal membrane]; GO:0005768 [Name: endosome]	ILMN_1237723 [Chip: ]	Q91ZX7	
NM_008513	GO:0005739 [Name: mitochondrion]; GO:0005886 [Name: plasma membrane]; GO:0016021 [Name: integral component of membrane]; GO:0043235 [Name: receptor complex]; GO:0016020 [Name: membrane]; GO:0005783 [Name: endoplasmic reticulum]	ILMN_2729433 [Chip: ]; ILMN_1223180 [Chip: ]; ILMN_2729431 [Chip: ]; ILMN_1238414 [Chip: ]	Q91VN0	
NM_008514	GO:0005769 [Name: early endosome]; GO:0005794 [Name: Golgi apparatus]; GO:0005829 [Name: cytosol]; GO:0005901 [Name: caveola]; GO:0016020 [Name: membrane]; GO:0045202 [Name: synapse]; GO:0005783 [Name: endoplasmic reticulum]; GO:0009986 [Name: cell surface]; GO:0031410 [Name: cytoplasmic vesicle]; GO:0043025 [Name: neuronal cell body]; GO:0005886 [Name: plasma membrane]; GO:0016021 [Name: integral component of membrane]	ILMN_1246449 [Chip: ]; ILMN_2712949 [Chip: ]; ILMN_2420586 [Chip: ]	O88572	
NM_008515	GO:0005634 [Name: nucleus]; GO:0005737 [Name: cytoplasm]; GO:0005886 [Name: plasma membrane]	ILMN_2651469 [Chip: ]; ILMN_1232861 [Chip: ]; ILMN_2647720 [Chip: ]; ILMN_2841753 [Chip: ]; ILMN_1249559 [Chip: ]	Q3UZ39	
NM_008516	GO:0016021 [Name: integral component of membrane]; GO:0016020 [Name: membrane]	ILMN_2759736 [Chip: ]	Q61809	
NM_008517	GO:0005737 [Name: cytoplasm]; GO:0005654 [Name: nucleoplasm]; GO:0005634 [Name: nucleus]; GO:0070062 [Name: extracellular exosome]	ILMN_2739486 [Chip: ]; ILMN_2736221 [Chip: ]	P24527	
NM_008518	GO:0005615 [Name: extracellular space]; GO:0016020 [Name: membrane]; GO:0005886 [Name: plasma membrane]; GO:0016021 [Name: integral component of membrane]	ILMN_1258283 [Chip: ]	P41155	
NM_008519	GO:0016021 [Name: integral component of membrane]; GO:0045121 [Name: membrane raft]; GO:0016020 [Name: membrane]; GO:0005886 [Name: plasma membrane]; GO:0005887 [Name: integral component of plasma membrane]	ILMN_1220609 [Chip: ]	O88855	
NM_008520	GO:0031012 [Name: extracellular matrix]; GO:0005578 [Name: proteinaceous extracellular matrix]; GO:0005576 [Name: extracellular region]; GO:0070062 [Name: extracellular exosome]	ILMN_2608746 [Chip: ]; ILMN_2776619 [Chip: ]	Q61810	
NM_008521	GO:0016021 [Name: integral component of membrane]; GO:0005783 [Name: endoplasmic reticulum]; GO:0005635 [Name: nuclear envelope]; GO:0043231 [Name: intracellular membrane-bounded organelle]; GO:0016020 [Name: membrane]; GO:0005634 [Name: nucleus]	ILMN_2658687 [Chip: ]	Q60860	
NM_008522	GO:0005576 [Name: extracellular region]; GO:0070062 [Name: extracellular exosome]; GO:0042581 [Name: specific granule]; GO:0005634 [Name: nucleus]; GO:0005737 [Name: cytoplasm]; GO:0043234 [Name: protein complex]; GO:0005615 [Name: extracellular space]; GO:0030141 [Name: secretory granule]; GO:0009986 [Name: cell surface]	ILMN_2754364 [Chip: ]; ILMN_2889020 [Chip: ]	P08071	
NM_008524	GO:0005583 [Name: fibrillar collagen trimer]; GO:0005576 [Name: extracellular region]; GO:0031012 [Name: extracellular matrix]; GO:0005615 [Name: extracellular space]; GO:0005578 [Name: proteinaceous extracellular matrix]; GO:0070062 [Name: extracellular exosome]	ILMN_3001540 [Chip: ]; ILMN_2773259 [Chip: ]	P51885	
NM_008525	GO:0005634 [Name: nucleus]; GO:0005829 [Name: cytosol]; GO:0070062 [Name: extracellular exosome]; GO:0005615 [Name: extracellular space]	ILMN_2655015 [Chip: ]	Q9DD05; P10518	
NM_008526	-	-	-	
NM_008527	GO:0005886 [Name: plasma membrane]; GO:0009897 [Name: external side of plasma membrane]; GO:0016021 [Name: integral component of membrane]; GO:0016020 [Name: membrane]; GO:0005887 [Name: integral component of plasma membrane]	ILMN_1238478 [Chip: ]; ILMN_2952650 [Chip: ]	P27814	
NM_008528	GO:0016020 [Name: membrane]; GO:0005886 [Name: plasma membrane]; GO:0005737 [Name: cytoplasm]	ILMN_1244526 [Chip: ]; ILMN_1253725 [Chip: ]; ILMN_2726931 [Chip: ]	Q9QUN3	
NM_008529	GO:0005886 [Name: plasma membrane]; GO:0016020 [Name: membrane]; GO:0031225 [Name: anchored component of membrane]	ILMN_2776278 [Chip: ]	Q64253	
NM_008530	GO:0005886 [Name: plasma membrane]; GO:0005575 [Name: cellular_component]; GO:0016020 [Name: membrane]; GO:0031225 [Name: anchored component of membrane]	ILMN_1213836 [Chip: ]	P35460	
NM_008533	GO:0016020 [Name: membrane]; GO:0016021 [Name: integral component of membrane]; GO:0005886 [Name: plasma membrane]	ILMN_2905717 [Chip: ]; ILMN_1236393 [Chip: ]; ILMN_2585533 [Chip: ]; ILMN_1252671 [Chip: ]	Q62192	
NM_008534	GO:0016021 [Name: integral component of membrane]; GO:0005886 [Name: plasma membrane]; GO:0016020 [Name: membrane]; GO:0009986 [Name: cell surface]	ILMN_1213596 [Chip: ]; ILMN_1213156 [Chip: ]; ILMN_1231309 [Chip: ]; ILMN_2764169 [Chip: ]	Q01965	
NM_008535	GO:0005634 [Name: nucleus]	ILMN_2612255 [Chip: ]	P27792	
NM_008536	GO:0016021 [Name: integral component of membrane]; GO:0016020 [Name: membrane]; GO:0005887 [Name: integral component of plasma membrane]	ILMN_1226249 [Chip: ]; ILMN_2462650 [Chip: ]	Q64302	
NM_008537	GO:0005777 [Name: peroxisome]; GO:0005737 [Name: cytoplasm]; GO:0005739 [Name: mitochondrion]	ILMN_2948539 [Chip: ]; ILMN_1223493 [Chip: ]	O09174	
NM_008538	GO:0016020 [Name: membrane]; GO:0005856 [Name: cytoskeleton]; GO:0005737 [Name: cytoplasm]; GO:0005813 [Name: centrosome]; GO:0005938 [Name: cell cortex]; GO:0042585 [Name: germinal vesicle]	ILMN_1256142 [Chip: ]	P26645	
NM_008539	GO:0005737 [Name: cytoplasm]; GO:0043234 [Name: protein complex]; GO:0005622 [Name: intracellular]; GO:0005634 [Name: nucleus]; GO:0005637 [Name: nuclear inner membrane]; GO:0005667 [Name: transcription factor complex]	ILMN_2671572 [Chip: ]; ILMN_1234354 [Chip: ]; ILMN_2953700 [Chip: ]	P70340	
NM_008540	GO:0005622 [Name: intracellular]; GO:0090575 [Name: RNA polymerase II transcription factor complex]; GO:0005737 [Name: cytoplasm]; GO:0005667 [Name: transcription factor complex]; GO:0032444 [Name: activin responsive factor complex]; GO:0000790 [Name: nuclear chromatin]; GO:0043234 [Name: protein complex]; GO:0005634 [Name: nucleus]; GO:0071141 [Name: SMAD protein complex]	ILMN_2706631 [Chip: ]; ILMN_2425011 [Chip: ]	P97471; E3SRG7	
NM_008541	GO:0005737 [Name: cytoplasm]; GO:0005654 [Name: nucleoplasm]; GO:0005667 [Name: transcription factor complex]; GO:0005622 [Name: intracellular]; GO:0043234 [Name: protein complex]; GO:0005634 [Name: nucleus]	ILMN_3155789 [Chip: ]; ILMN_3076864 [Chip: ]; ILMN_1237371 [Chip: ]	P97454	
NM_008542	GO:0005622 [Name: intracellular]; GO:0005667 [Name: transcription factor complex]; GO:0005634 [Name: nucleus]; GO:0043234 [Name: protein complex]	ILMN_3008748 [Chip: ]; ILMN_2773835 [Chip: ]	O35182	
NM_008543	GO:0005634 [Name: nucleus]; GO:0005913 [Name: cell-cell adherens junction]; GO:0005654 [Name: nucleoplasm]; GO:0005730 [Name: nucleolus]; GO:0005813 [Name: centrosome]; GO:0005622 [Name: intracellular]; GO:0005737 [Name: cytoplasm]; GO:0043234 [Name: protein complex]; GO:0005886 [Name: plasma membrane]; GO:0005667 [Name: transcription factor complex]; GO:0016342 [Name: catenin complex]	ILMN_2759660 [Chip: ]	B2RPW6; O35253	
NM_008545	GO:0005575 [Name: cellular_component]	ILMN_2702483 [Chip: ]; ILMN_1246766 [Chip: ]; ILMN_2596487 [Chip: ]; ILMN_2941984 [Chip: ]	-	
NM_008546	GO:0005576 [Name: extracellular region]; GO:0001527 [Name: microfibril]; GO:0005578 [Name: proteinaceous extracellular matrix]	ILMN_2981545 [Chip: ]; ILMN_1240458 [Chip: ]; ILMN_2981542 [Chip: ]; ILMN_1254521 [Chip: ]; ILMN_2595080 [Chip: ]	-	
NM_008547	GO:0001750 [Name: photoreceptor outer segment]; GO:0005737 [Name: cytoplasm]; GO:0005856 [Name: cytoskeleton]; GO:0005634 [Name: nucleus]; GO:0005813 [Name: centrosome]; GO:0030496 [Name: midbody]; GO:0042995 [Name: cell projection]; GO:0001917 [Name: photoreceptor inner segment]; GO:0005929 [Name: cilium]; GO:0072686 [Name: mitotic spindle]	ILMN_2425745 [Chip: ]; ILMN_1221665 [Chip: ]	Q04859	
NM_008548	GO:0000139 [Name: Golgi membrane]; GO:0005793 [Name: endoplasmic reticulum-Golgi intermediate compartment]; GO:0070062 [Name: extracellular exosome]; GO:0016020 [Name: membrane]; GO:0005783 [Name: endoplasmic reticulum]; GO:0005794 [Name: Golgi apparatus]; GO:0016021 [Name: integral component of membrane]; GO:0005737 [Name: cytoplasm]	ILMN_2715319 [Chip: ]; ILMN_2564090 [Chip: ]	P45700; Q544T7	
NM_008549	GO:0016021 [Name: integral component of membrane]; GO:0005794 [Name: Golgi apparatus]; GO:0000139 [Name: Golgi membrane]; GO:0070062 [Name: extracellular exosome]; GO:0005801 [Name: cis-Golgi network]; GO:0016020 [Name: membrane]	ILMN_1239578 [Chip: ]	P27046	
NM_008550	GO:0070062 [Name: extracellular exosome]; GO:0005764 [Name: lysosome]; GO:0005576 [Name: extracellular region]	ILMN_2605393 [Chip: ]; ILMN_1213661 [Chip: ]	O54782	
NM_008551	GO:0005813 [Name: centrosome]; GO:0005737 [Name: cytoplasm]; GO:0005634 [Name: nucleus]; GO:0005654 [Name: nucleoplasm]; GO:0070062 [Name: extracellular exosome]	ILMN_2614212 [Chip: ]	P49138	
NM_008552	GO:0005886 [Name: plasma membrane]; GO:0016020 [Name: membrane]; GO:0005887 [Name: integral component of plasma membrane]; GO:0005622 [Name: intracellular]; GO:0016021 [Name: integral component of membrane]; GO:0009986 [Name: cell surface]	ILMN_1253860 [Chip: ]	P30554	
NM_008553	GO:0005634 [Name: nucleus]; GO:0043025 [Name: neuronal cell body]	ILMN_2708006 [Chip: ]	Q02067	
NM_008554	GO:0005634 [Name: nucleus]; GO:0005737 [Name: cytoplasm]	ILMN_2919900 [Chip: ]; ILMN_2515236 [Chip: ]	O35885	
NM_008555	GO:0005576 [Name: extracellular region]; GO:0005615 [Name: extracellular space]	-	P98064	
NM_008556	-	-	-	
NM_008557	GO:0016021 [Name: integral component of membrane]; GO:0016020 [Name: membrane]; GO:0005789 [Name: endoplasmic reticulum membrane]; GO:0034707 [Name: chloride channel complex]; GO:0070062 [Name: extracellular exosome]; GO:0005887 [Name: integral component of plasma membrane]	ILMN_2595593 [Chip: ]	Q61835	
NM_008558	GO:0030425 [Name: dendrite]; GO:0005654 [Name: nucleoplasm]; GO:0005634 [Name: nucleus]; GO:0005737 [Name: cytoplasm]; GO:0016605 [Name: PML body]; GO:0071339 [Name: MLL1 complex]; GO:0042995 [Name: cell projection]	ILMN_1233187 [Chip: ]; ILMN_3068231 [Chip: ]	-	
NM_008559	GO:0005886 [Name: plasma membrane]; GO:0016021 [Name: integral component of membrane]; GO:0016020 [Name: membrane]	ILMN_2774319 [Chip: ]	Q01727; A0A0B6VTJ4	
NM_008560	GO:0005886 [Name: plasma membrane]; GO:0016021 [Name: integral component of membrane]; GO:0005737 [Name: cytoplasm]; GO:0016020 [Name: membrane]	ILMN_2595350 [Chip: ]	Q64326	
NM_008561	GO:0005886 [Name: plasma membrane]; GO:0016021 [Name: integral component of membrane]; GO:0016020 [Name: membrane]	ILMN_2915996 [Chip: ]; ILMN_1229992 [Chip: ]	P33033	
NM_008562	GO:0005634 [Name: nucleus]; GO:0005759 [Name: mitochondrial matrix]; GO:0016021 [Name: integral component of membrane]; GO:0005737 [Name: cytoplasm]; GO:0005739 [Name: mitochondrion]; GO:0097136 [Name: Bcl-2 family protein complex]; GO:0016020 [Name: membrane]; GO:0005829 [Name: cytosol]; GO:0005741 [Name: mitochondrial outer membrane]	ILMN_1216732 [Chip: ]	P97287	
NM_008563	GO:0043231 [Name: intracellular membrane-bounded organelle]; GO:0005813 [Name: centrosome]; GO:0048471 [Name: perinuclear region of cytoplasm]; GO:0016020 [Name: membrane]; GO:0005654 [Name: nucleoplasm]; GO:0042555 [Name: MCM complex]; GO:0000784 [Name: nuclear chromosome, telomeric region]; GO:0005737 [Name: cytoplasm]; GO:0005634 [Name: nucleus]	ILMN_2851040 [Chip: ]; ILMN_2633377 [Chip: ]	Q3UI57; P25206	
NM_008564	GO:0005654 [Name: nucleoplasm]; GO:0000785 [Name: chromatin]; GO:0005737 [Name: cytoplasm]; GO:0005664 [Name: nuclear origin of replication recognition complex]; GO:0000784 [Name: nuclear chromosome, telomeric region]; GO:0015630 [Name: microtubule cytoskeleton]; GO:0005634 [Name: nucleus]; GO:0042555 [Name: MCM complex]	ILMN_1250907 [Chip: ]	P97310	
NM_008565	GO:0005634 [Name: nucleus]; GO:0000784 [Name: nuclear chromosome, telomeric region]; GO:0005654 [Name: nucleoplasm]; GO:0042555 [Name: MCM complex]; GO:0016020 [Name: membrane]	ILMN_2936427 [Chip: ]; ILMN_2752009 [Chip: ]; ILMN_2752010 [Chip: ]; ILMN_2695747 [Chip: ]	P49717	
NM_008566	GO:0000784 [Name: nuclear chromosome, telomeric region]; GO:0016020 [Name: membrane]; GO:0005654 [Name: nucleoplasm]; GO:0005634 [Name: nucleus]; GO:0042555 [Name: MCM complex]	ILMN_2742849 [Chip: ]	Q8BQ03; Q52KC3	
NM_008567	GO:0000784 [Name: nuclear chromosome, telomeric region]; GO:0005654 [Name: nucleoplasm]; GO:0005634 [Name: nucleus]; GO:0042555 [Name: MCM complex]	ILMN_1217331 [Chip: ]; ILMN_1236125 [Chip: ]; ILMN_1233857 [Chip: ]	P97311; Q542I2	
NM_008568	GO:0016020 [Name: membrane]; GO:0005829 [Name: cytosol]; GO:0000784 [Name: nuclear chromosome, telomeric region]; GO:0005654 [Name: nucleoplasm]; GO:0042555 [Name: MCM complex]; GO:0005634 [Name: nucleus]; GO:0005737 [Name: cytoplasm]	ILMN_2673890 [Chip: ]; ILMN_2673889 [Chip: ]; ILMN_1213616 [Chip: ]	Q61881; Q3U4T8	
NM_008569	GO:0005634 [Name: nucleus]; GO:0005680 [Name: anaphase-promoting complex]	ILMN_1230344 [Chip: ]; ILMN_1258276 [Chip: ]; ILMN_1239665 [Chip: ]	P53995	
NM_008570	GO:0005615 [Name: extracellular space]; GO:0005622 [Name: intracellular]; GO:0005576 [Name: extracellular region]	ILMN_1258979 [Chip: ]	P11034	
NM_008571	GO:0005622 [Name: intracellular]; GO:0005615 [Name: extracellular space]	ILMN_2641659 [Chip: ]	P15119	
NM_008572	GO:0043231 [Name: intracellular membrane-bounded organelle]; GO:0005737 [Name: cytoplasm]; GO:0005576 [Name: extracellular region]	ILMN_1235399 [Chip: ]	P43430	
NM_008573	GO:0005575 [Name: cellular_component]	-	-	
NM_008574	GO:0005741 [Name: mitochondrial outer membrane]; GO:0005737 [Name: cytoplasm]; GO:0016020 [Name: membrane]; GO:0005739 [Name: mitochondrion]	ILMN_2623212 [Chip: ]	P15265	
NM_008575	GO:0005634 [Name: nucleus]	ILMN_2644167 [Chip: ]; ILMN_1227293 [Chip: ]; ILMN_1219311 [Chip: ]; ILMN_1257423 [Chip: ]; ILMN_2877527 [Chip: ]	O35618	
NM_008576	GO:0016020 [Name: membrane]; GO:0070062 [Name: extracellular exosome]; GO:0005886 [Name: plasma membrane]; GO:0005737 [Name: cytoplasm]; GO:0016021 [Name: integral component of membrane]; GO:0005887 [Name: integral component of plasma membrane]; GO:0016323 [Name: basolateral plasma membrane]	ILMN_1240771 [Chip: ]; ILMN_1248173 [Chip: ]; ILMN_2552589 [Chip: ]; ILMN_1227844 [Chip: ]	O35379	
NM_008577	GO:0016020 [Name: membrane]; GO:0005886 [Name: plasma membrane]; GO:0070062 [Name: extracellular exosome]; GO:0016021 [Name: integral component of membrane]; GO:0005737 [Name: cytoplasm]; GO:0005634 [Name: nucleus]; GO:0009986 [Name: cell surface]	ILMN_2595359 [Chip: ]	P10852	
NM_008578	GO:0005634 [Name: nucleus]; GO:0005667 [Name: transcription factor complex]	ILMN_2609630 [Chip: ]; ILMN_3111575 [Chip: ]	-	
NM_008579	GO:0005634 [Name: nucleus]	ILMN_2588789 [Chip: ]	Q61845	
NM_008580	GO:0005622 [Name: intracellular]; GO:0005737 [Name: cytoplasm]; GO:0005783 [Name: endoplasmic reticulum]; GO:1902911 [Name: protein kinase complex]; GO:1990604 [Name: IRE1-TRAF2-ASK1 complex]	ILMN_1241927 [Chip: ]; ILMN_2602287 [Chip: ]; ILMN_2777842 [Chip: ]; ILMN_2777836 [Chip: ]	O35099	
NM_008581	-	-	-	
NM_008583	GO:0005829 [Name: cytosol]; GO:0005634 [Name: nucleus]; GO:0005654 [Name: nucleoplasm]; GO:0000785 [Name: chromatin]; GO:0032154 [Name: cleavage furrow]; GO:0035097 [Name: histone methyltransferase complex]; GO:0005737 [Name: cytoplasm]; GO:0016363 [Name: nuclear matrix]; GO:0043234 [Name: protein complex]	ILMN_1219210 [Chip: ]; ILMN_2701797 [Chip: ]; ILMN_2837476 [Chip: ]	O88559	
NM_008584	GO:0005634 [Name: nucleus]; GO:0005737 [Name: cytoplasm]	ILMN_2709087 [Chip: ]	P32443	
NM_008585	GO:0016020 [Name: membrane]; GO:0016021 [Name: integral component of membrane]; GO:0017090 [Name: meprin A complex]; GO:0070062 [Name: extracellular exosome]	ILMN_2616479 [Chip: ]	P28825	
NM_008586	GO:0005886 [Name: plasma membrane]; GO:0016021 [Name: integral component of membrane]; GO:0016020 [Name: membrane]	ILMN_2634667 [Chip: ]; ILMN_2634670 [Chip: ]; ILMN_2634671 [Chip: ]; ILMN_2723975 [Chip: ]; ILMN_2820305 [Chip: ]	Q61847	
NM_008587	GO:0016021 [Name: integral component of membrane]; GO:0016020 [Name: membrane]; GO:0005615 [Name: extracellular space]; GO:0016028 [Name: rhabdomere]; GO:0005737 [Name: cytoplasm]; GO:0001750 [Name: photoreceptor outer segment]	ILMN_2714638 [Chip: ]; ILMN_2491355 [Chip: ]	Q60805	
